CloneOf;Name;Description;Year;Manufacturer
ibm5150;olytext30;Olytext 30;198?;AEG Olympia
;omega;Omega;1986;Nihon System
omega;omegaa;Omega (earlier);1986;Nihon System
theend;omegab;Omega (bootleg?);19??;bootleg?
;omegaf;Omega Fighter;1989;UPL
omegaf;omegafs;Omega Fighter Special;1989;UPL
;omegrace;Omega Race (set 1);1981;Midway
omegrace;omegrace2;Omega Race (set 2);1981;Midway
omegrace;omegrace3;Omega Race (set 3, 7/27);1981;Midway
pisces;omni;Omni;19??;bootleg (Videa System)
kayproii;omni2;Omni II Logic Analyzer;198?;Non Linear Systems
kaypro484;omni4;Omni 4 Logic Analyzer;198?;Omni Logic Inc.
;omni_l1;Omni (Shuffle) (L-1);1980;Williams/United
;omotesnd;Omotesandou (Japan 890215);1989;Anime Tec
;omti5100;OMTI 5100;;
;omti8621ap;OMTI 8621 ESDI/floppy controller (Apollo);;
;omti8621isa;OMTI 8621 ESDI/floppy controller (ISA);;
;omti_disk_image;OMTI 8621 ESDI disk;;
sg1000;omv1000;Othello Multivision FG-1000;1984;Tsukuda Original
sg1000;omv2000;Othello Multivision FG-2000;1984;Tsukuda Original
;omv_cart_slot;Tsukuda Original Othello Multivision FG-1000 / FG-2000 Cartridge Slot;;
;ondrat;Ondra;1989;Tesla
ondrat;ondrav;Ondra ViLi;1989;ViLi
;one4all;One For All (0101503V, New Zealand);2001;Aristocrat
;onemeg;1 Mb Interface;;
;oneshot;One Shot One Kill;1996;Promat
;onetwo;One + Two;1997;Barko
onetwo;onetwoe;One + Two (earlier);1997;Barko
;onna34ro;Onna Sanshirou - Typhoon Gal;1985;Taito
onna34ro;onna34roa;Onna Sanshirou - Typhoon Gal (bootleg);1985;Taito
coleco;onyx;Onyx (Brazil/Prototype);1982;Microdigital
;ooparts;OOPArts (prototype, joystick hack);1992;hack
ibm5170;op386wb;OPTi 386WB VER.1.0;199?;OPTi
ibm5170;op82c283;386sx motherboards using the OPTi 82C283 chipset;199?;<unknown>
ibm5170;op82c291;386sx motherboards using the OPTi 82C291 chipset;199?;<unknown>
ibm5170;op82c381;386 motherboards using the OPTi 82C381 chipset;199?;<unknown>
ibm5170;op82c391;386 motherboards using the OPTi 82C391 chipset;199?;<unknown>
ibm5170;op82c392;486 motherboards using the OPTi OPTi 82C392, 82C493 chipset;199?;<unknown>
;opaopa;Opa Opa (MC-8123, 317-0042);1987;Sega
opaopa;opaopan;Opa Opa (Rev A, unprotected);1987;Sega
;opengolf;Konami's Open Golf Championship (ver EAE);1994;Konami
opengolf;opengolf2;Konami's Open Golf Championship (ver EAD);1994;Konami
;openice;2 On 2 Open Ice Challenge (rev 1.21);1995;Midway
openice;openicea;2 On 2 Open Ice Challenge (rev 1.2A);1995;Midway
royalmj;openmj;Open Mahjong [BET] (Japan);1981?;Sapporo Mechanic
;oplayer;OPlayer Mobile Game Console (MGS03-white) (Family Sport 100-in-1);200?;OPlayer / Senca
;opsesam;Open Sesame (0351309, US);200?;Aristocrat
;opthund;Operation: Thunder;1992;Gottlieb
ibm5170;opti495slc;386 motherboards using a OPTi 82C495SLC chipset;199?;<unknown>
ibm5170;opti495xlc;386 motherboards using a OPTi 82C495XLC chipset;199?;<unknown>
;optiger;Operation Tiger (Ver 2.14 O);1998;Taito
;opus108pm;Opus 108PM;;
;opwolf;Operation Wolf (World, set 1);1987;Taito Corporation Japan
;opwolf3;Operation Wolf 3 (World);1994;Taito Corporation Japan
opwolf3;opwolf3j;Operation Wolf 3 (Japan);1994;Taito Corporation
opwolf3;opwolf3u;Operation Wolf 3 (US);1994;Taito America Corporation
opwolf;opwolfa;Operation Wolf (World, set 2);1987;Taito Corporation Japan
opwolf;opwolfb;Operation Bear (bootleg of Operation Wolf);1987;bootleg (Bear Corporation Korea)
opwolf;opwolfj;Operation Wolf (Japan);1987;Taito Corporation
opwolf;opwolfjsc;Operation Wolf (Japan, SC);1987;Taito Corporation
opwolf;opwolfp;Operation Wolf (Japan, prototype);1987;Taito Corporation
opwolf;opwolfu;Operation Wolf (US);1987;Taito America Corporation
;orangec;Orange Club - Maruhi Kagai Jugyou (Japan 880213);1988;Daiichi Denshi
orangec;orangeci;Orange Club - Maru-hi Ippatsu Kaihou [BET] (Japan 880221);1988;Daiichi Denshi
;orao;Orao 102;1984;PEL Varazdin
orao;orao103;Orao 103;1985;PEL Varazdin
;orbatak;Orbatak (prototype);1995;American Laser Games
;orbeaut;Oriental Beauty (10213511, NSW/ACT);2006;Aristocrat
;orbit;Orbit;1978;Atari
;orbit1;Orbit 1;1978;Hankin
;orbit9090;Orbit 9090 - The Dance Planet;1996;E-mu Systems
;orbite;Orbite (prototype);1979?;Model Racing
;orbitor1;Orbitor 1;1982;Stern
;orbitron;Orbitron;1982;Comsoft (Signatron USA license)
;orbituvi;UVI Compu-Game;198?;Orbit Electronics
;orbs;Orbs (10/7/94 prototype?);1994;American Sammy
;orca_ovg_40c;Orca OVG 40c video PCB;;
;orchidms;Orchid Mist (0200849V, NSW/ACT);1999;Aristocrat
orchidms;orchidmsa;Orchid Mist (0100849V, NSW/ACT);1999;Aristocrat
orchidms;orchidmsnz;Orchid Mist (0101241V, New Zealand);2000;Aristocrat
;ordentv;Ordenador-TV (Spain);2007;Taikee / V-Tac
;ordisava;Ordisavant (France);1988;Video Technology
;ordyne;Ordyne (World);1988;Namco
ordyne;ordynej;Ordyne (Japan);1988;Namco
ordyne;ordyneje;Ordyne (Japan, English Version);1988;Namco
;oric1;Oric 1;1983;Tangerine
;oric_jasmin;Jasmin floppy drive interface;;
;oric_microdisc;Microdisc floppy drive interface;;
oric1;orica;Oric Atmos;1984;Tangerine
;oricext_connector;ORIC extension connector;;
;orion128;Orion 128;1990;<unknown>
orion128;orionide;Orion 128 + Z80 Card II + IDE;1990;<unknown>
orion128;orionidm;Orion 128 + Z80 Card II + IDE (MS7007);1990;<unknown>
orion128;orionms;Orion 128 (MS7007);1990;<unknown>
orion128;orionpro;Orion Pro;1994;<unknown>
orion128;orionz80;Orion 128 + Z80 Card II;1990;<unknown>
orion128;orionzms;Orion 128 + Z80 Card II (MS7007);1990;<unknown>
xexex;orius;Orius (ver UAA);1991;Konami
spectrum;orizon;Orizon-Micro;199?;<unknown>
;orleg2;Oriental Legend 2 (V104, Oversea);2007;IGS
orleg2;orleg2_101;Oriental Legend 2 (V101, Oversea);2007;IGS
orleg2;orleg2_101cn;Xiyou Shi E Chuan 2 (V101, China);2007;IGS (Huatong license)
orleg2;orleg2_101jp;Saiyuu Shakuyakuden 2 (V101, Japan);2007;IGS (Alta license)
orleg2;orleg2_103;Oriental Legend 2 (V103, Oversea);2007;IGS
orleg2;orleg2_103cn;Xiyou Shi E Chuan 2 (V103, China);2007;IGS (Huatong license)
orleg2;orleg2_103jp;Saiyuu Shakuyakuden 2 (V103, Japan);2007;IGS (Alta license)
orleg2;orleg2_104cn;Xiyou Shi E Chuan 2 (V104, China);2007;IGS (Huatong license)
orleg2;orleg2_104jp;Saiyuu Shakuyakuden 2 (V104, Japan);2007;IGS (Alta license)
;orlegend;Oriental Legend / Xiyou Shi E Chuan (ver. 126);1997;IGS
orlegend;orlegend105k;Oriental Legend / Xiyou Shi E Chuan (ver. 105, Korean Board);1997;IGS
orlegend;orlegend105t;Oriental Legend / Xiyou Shi E Chuan (ver. 105, Taiwanese Board);1997;IGS
orlegend;orlegend111c;Oriental Legend / Xiyou Shi E Chuan (ver. 111, Chinese Board);1997;IGS
orlegend;orlegend111k;Oriental Legend / Xiyou Shi E Chuan (ver. 111, Korean Board);1997;IGS
orlegend;orlegend111t;Oriental Legend / Xiyou Shi E Chuan (ver. 111, Taiwanese Board);1997;IGS
orlegend;orlegendc;Oriental Legend / Xiyou Shi E Chuan (ver. 112, Chinese Board);1997;IGS
orlegend;orlegendca;Oriental Legend / Xiyou Shi E Chuan (ver. ???, Chinese Board);1997;IGS
orlegend;orlegende;Oriental Legend / Xiyou Shi E Chuan (ver. 112);1997;IGS
;ormatu;Ormatu 2001;198?;Ormatu Electronics
;orunners;OutRunners (World);1992;Sega
orunners;orunnersj;OutRunners (Japan);1992;Sega
orunners;orunnersu;OutRunners (US);1992;Sega
;os214;Rabbit Printer (model OS-214);1996;Argox
osa_maestro;osa_analyst;Analyst;;
;osa_maestro;Maestro B-D;;
;osa_maestroa;Maestro A;;
;osa_sparc;Sparc;;
;osbexec;Executive;1982;Osborne
;osborne1;Osborne-1;1981;Osborne
osborne1;osborne1nv;Osborne-1 (Nuevo Video);1984;Osborne/Nuevo
osborne1;osborne1sp;Osborne-1 with SCREEN-PAC;1983;Osborne
tmc1800;osc1000b;OSCOM 1000B;1977;OSCOM Oy
;oscar;Psycho-Nics Oscar (World revision 0);1987;Data East Corporation
;oscara5;Oscar (0200348V, NSW/ACT);1996;Aristocrat
oscara5;oscara5a;Oscar (0100348V, NSW/ACT);1996;Aristocrat
oscar;oscarj1;Psycho-Nics Oscar (Japan revision 1);1987;Data East Corporation
oscar;oscarj2;Psycho-Nics Oscar (Japan revision 2);1987;Data East Corporation
oscar;oscaru;Psycho-Nics Oscar (US);1988;Data East USA
;osman;Osman (World);1996;Mitchell
;otatidai;Disco Mahjong Otachidai no Okite (Japan);1995;Sphinx
;otchart;Off The Charts (Russian);2000;WMS
;otenamhf;Otenami Haiken Final (V2.07JC 2005/04/20 15:36);2005;Success / Warashi
;otenamih;Otenami Haiken (V2.04J 1999/02/01 18:00:00);1999;Success
;otenki;Otenki Kororin (V2.01J 2001/07/02 10:00);2001;Takumi
;othello;Othello (version 3.0);1984;Success
;othellos;Othello Shiyouyo (J 980423 V1.002);1998;Success
;othldrby;Othello Derby (Japan);1995;Sunwise
;othunder;Operation Thunderbolt (World, rev 1);1988;Taito Corporation Japan
othunder;othunderj;Operation Thunderbolt (Japan);1988;Taito Corporation
othunder;othunderjsc;Operation Thunderbolt (Japan, SC);1988;Taito Corporation
othunder;othundero;Operation Thunderbolt (World);1988;Taito Corporation Japan
othunder;othunderu;Operation Thunderbolt (US, rev 1);1988;Taito America Corporation
othunder;othunderuo;Operation Thunderbolt (US);1988;Taito America Corporation
;oti111_vga;Oak Technologies Spitfire 64111;;
;otomedius;Otomedius (ver GGG:J:A:A:2008041801);2007;Konami
;otonano;Otona no Mahjong (Japan 880628);1988;Apple
;otrail;The Oregon Trail;2017;Basic Fun
;otrigger;OutTrigger;1999;Sega
;otwalls;Off the Wall (Sente) (10/16/84);1984;Bally/Sente
;ougonhai;Mahjong Ougon no Hai;1991;Dynax
ougonhai;ougonhaib1;Mahjong Ougon no Hai (bootleg set 1);1991;bootleg
ougonhai;ougonhaib2;Mahjong Ougon no Hai (bootleg set 2);1991;bootleg
ougonhai;ougonhaib3;Mahjong Ougon no Hai (bootleg set 3);1991;bootleg
;outbackj;Outback Jack (20195211, NSW/ACT);2005;Aristocrat
;outfxies;The Outfoxies (World, OU2);1994;Namco
outfxies;outfxiesa;The Outfoxies (Korea?);1994;Namco
outfxies;outfxiesj;The Outfoxies (Japan, OU1);1994;Namco
outfxies;outfxiesja;The Outfoxies (Japan, OU1, alternate GFX ROMs);1994;Namco
;outlaw;Outlaw [TTL];1976;Atari
radarzon;outline;Outline;1982;Century Electronics
;output_latch;Output Latch;;
;outr2;OutRun 2 (Rev A) (GDX-0004A);2003;Sega
;outr2sdx;OutRun 2 SP SDX;2006;Sega
;outr2st;OutRun 2 Special Tours (Rev A) (GDX-0014A);2004;Sega
outr2st;outr2stj;OutRun 2 Special Tours (Japan, Rev A) (GDX-0011A);2004;Sega
outr2st;outr2stjo;OutRun 2 Special Tours (Japan) (GDX-0011);2004;Sega
outr2st;outr2sto;OutRun 2 Special Tours (GDX-0014);2004;Sega
;outrun;Out Run (sitdown/upright, Rev B);1986;Sega
outrun;outrunb;Out Run (bootleg);1986;bootleg
outrun;outrundx;Out Run (deluxe sitdown);1986;Sega
outrun;outrundxa;Out Run (deluxe sitdown earlier version);1986;Sega
outrun;outrundxeh;Out Run (deluxe sitdown) (Enhanced Edition v2.0.3);2020;hack (Chris White)
outrun;outrundxeha;Out Run (deluxe sitdown) (Enhanced Edition v1.0.3);2013;hack (Chris White)
outrun;outrundxj;Out Run (Japan, deluxe sitdown) (FD1089A 317-0019);1986;Sega
outrun;outruneh;Out Run (sitdown/upright, Rev B) (Enhanced Edition v2.0.3);2020;hack (Chris White)
outrun;outruneha;Out Run (sitdown/upright, Rev B) (Enhanced Edition v1.1.0);2014;hack (Chris White)
outrun;outrunra;Out Run (sitdown/upright, Rev A);1986;Sega
;outzone;Out Zone;1990;Toaplan
outzone;outzonea;Out Zone (old set);1990;Toaplan
outzone;outzoneb;Out Zone (older set);1990;Toaplan
outzone;outzonec;Out Zone (oldest set);1990;Toaplan
outzone;outzonecv;Out Zone (Zero Wing TP-015 PCB conversion);1990;Toaplan
outzone;outzoneh;Out Zone (harder);1990;Toaplan
;overdriv;Over Drive (set 1);1990;Konami
overdriv;overdriva;Over Drive (set 2);1990;Konami
overdriv;overdrivb;Over Drive (set 3);1990;Konami
;overrev;Over Rev (Model 2C, Revision A);1997;Jaleco
overrev;overrevb;Over Rev (Model 2B, Revision B);1997;Jaleco
overrev;overrevba;Over Rev (Model 2B, Revision A);1997;Jaleco
;overtop;Over Top;1996;ADK
;owlcap;Owl Capone (10008711, NSW/ACT, Show Program);2001;Aristocrat
;oz750;Wizard OZ-750;199?;Sharp
;ozmawars;Ozma Wars (set 1);1979;SNK
ozmawars;ozmawars2;Ozma Wars (set 2);1979;SNK
ozmawars;ozmawarsmr;Ozma Wars (Model Racing bootleg);1979;bootleg (Model Racing)
;ozon1;Ozon I;1983;Proma
;p112;P112;1996;Dave Brooks
;p1_fdc;Poisk-1 floppy B504;;
;p1_hdc;Poisk-1 MFM disk B942;;
;p1_rom;Poisk-1 ROM cart;;
;p1_sound;Poisk-1 sound card (B623);;
p2000t;p2000m;Philips P2000M;1980;Philips
;p2000t;Philips P2000T;1980;Philips
ibm5170;p386dx40;P386DX-40;199?;Peacock
ibm5170;p386sx25pw;P386SX-25PW VER:2.00;199?;Prolink
;p47;P-47 - The Phantom Fighter (World);1988;Jaleco
;p47aces;P-47 Aces (ver 1.1);1995;Jaleco
p47aces;p47acesa;P-47 Aces (ver 1.0);1995;Jaleco
p47;p47b;P-47 - The Freedom Fighter (World, bootleg);1988;bootleg
p47;p47j;P-47 - The Freedom Fighter (Japan);1988;Jaleco
p47;p47je;P-47 - The Freedom Fighter (Japan, Export);1988;Jaleco
;p500;P500 (NTSC);1983;Commodore Business Machines
p500;p500p;P500 (PAL);1983;Commodore Business Machines
;p72;NEC PinWriter P72;;
;p8000;P8000 (8bit Board);1989;EAW electronic Treptow
p8000;p8000_16;P8000 (16bit Board);1989;EAW electronic Treptow
;p8098;Intel P8098;;
;p8798;Intel P8798;;
;p8k_16_daisy;P8000 16-bit daisy chain device;;
;p911;The Keisatsukan: Shinjuku 24-ji (ver AAE);2000;Konami
;p9112;Police 911 2 (VER. UAA:B);2001;Konami
p911;p911ac;The Keisatsukan: Shinjuku 24-ji (ver AAC);2000;Konami
p911;p911ea;Police 24/7 (ver EAD, alt);2000;Konami
p911;p911ed;Police 24/7 (ver EAD);2000;Konami
p911;p911j;The Keisatsukan: Shinjuku 24-ji (ver JAE);2000;Konami
p911;p911k;The Keisatsukan: Shinjuku 24-ji (ver KAE);2000;Konami
p911;p911kc;The Keisatsukan: Shinjuku 24-ji (ver KAC);2000;Konami
p911;p911ud;Police 911 (ver UAD);2000;Konami
;pa7234;PA7234 Pasopia PAC2 Expansion Unit;;
;pa7243;PA7243 Pasopia RAM PAC2 (16KB);;
;pa7245;PA7245 Pasopia RAM PAC2 (32KB);;
;pa7246;PA7246 Pasopia Kanji ROM PAC2;;
;pa7248;PA7248 Pasopia RAM PAC2 (64KB);;
;pabball;Pro-Action Electronic-Computerized Baseball;1979;Calfax / Caprice Electronics
puckman;pac90;Pac-Man (bootleg on World Cup '90 hardware);199?;bootleg (Macro)
;pacapp;Paca Paca Passion (Japan, PPP1/VER.A2);1998;Produce / Namco
;pacapp2;Paca Paca Passion 2 (Japan, PKS1/VER.A);1999;Produce / Namco
;pacappsp;Paca Paca Passion Special (Japan, PSP1/VER.A);1999;Produce / Namco
;paccarn;Pac-Carnival;1996;Namco
;paccon;Pac-Man Connect & Play (Feb 14 2012 10:46:23);2012;Bandai
;paceight;Pac-Eight;1996;Namco
mspacman;pacgal;Pac-Gal (set 1);1981;hack
mspacman;pacgal2;Pac-Gal (set 2);1981;bootleg
puckman;pacheart;Pac-Man (Hearts);1981;hack
;pachifev;Pachifever;1983;Sanki Denshi Kogyo
;pachiten;Medal Mahjong Pachi-Slot Tengoku [BET] (Japan);1993;Nichibutsu / AV Japan / Miki Syouji
;packbang;Pack'n Bang Bang (prototype);1994;Kaneko
;packmon;Packri Monster;1981;Bandai
;pacland;Pac-Land (World);1984;Namco
pacland;paclandj;Pac-Land (Japan new);1984;Namco
pacland;paclandjo;Pac-Land (Japan old);1984;Namco
pacland;paclandjo2;Pac-Land (Japan older);1984;Namco
pacland;paclandm;Pac-Land (Midway);1984;Namco (Bally Midway license)
pacland;paclandm2;Pac-Land (Bally-Midway);1984;Namco (Bally Midway license)
;paclandp;Pac-Land (United Amusements PC Engine);1989;Namco
puckman;pacman;Pac-Man (Midway);1980;Namco (Midway license)
puckman;pacmanbl;Pac-Man (bootleg on Galaxian hardware, set 1);1981;bootleg
puckman;pacmanbla;Pac-Man (bootleg on Galaxian hardware, set 2);1981;bootleg
puckman;pacmanblb;Pac-Man (bootleg on Moon Alien 'AL-10A1' hardware);1981;bootleg
puckman;pacmanblc;Pac-Man (Calfesa, Spanish bootleg on Galaxian hardware);1981;bootleg (Calfesa)
puckman;pacmanblci;Pac-Man (Cirsa, Spanish bootleg on Galaxian hardware);1981;bootleg (Cirsa)
puckman;pacmanblv;Pac-Man (Video Dens, Spanish bootleg on Galaxian hardware);1981;bootleg (Video Dens)
puckman;pacmanf;Pac-Man (Midway, speedup hack);1980;hack
puckman;pacmanfm;Pac Man (FAMARE S.A. bootleg of Puck Man);1980;bootleg (FAMARE S.A.)
;pacmania;Pac-Mania;1987;Namco
pacmania;pacmaniaj;Pac-Mania (Japan);1987;Namco
pacmania;pacmaniao;Pac-Mania (111187 sound program);1987;Namco
puckman;pacmanjpm;Pac-Man (JPM bootleg);1981;bootleg (JPM)
puckman;pacmanpe;Come Come (Petaco SA bootleg of Puck Man);1980;bootleg (Petaco SA)
puckman;pacmanso;Pac-Man (SegaSA / Sonic);1980;Namco (Sonic license)
puckman;pacmansp;Puck Man (Spanish, 'Made in Greece' bootleg);198?;bootleg (Video Game SA)
puckman;pacmanug;Pac Man (U.Games bootleg of Puck Man);1980;bootleg (U.Games)
puckman;pacmanvg;Pac-Man (bootleg, Video Game SA);1980;bootleg (Video Game SA)
;pacmball;Pacman BALL (PMB2 Ver.A.);2003;Namco
puckman;pacmod;Pac-Man (Midway, harder);1981;Namco (Midway license)
pacnpal;pacnchmp;Pac-Man & Chomp Chomp;1983;Namco
;pacnpal;Pac & Pal;1983;Namco
pacnpal;pacnpal2;Pac & Pal (older);1983;Namco
beaminv;pacominv;Pacom Invader (set 1);1979;Pacom Corporation
beaminv;pacominva;Pacom Invader (set 2);19??;Pacom Corporation
;pacplus;Pac-Man Plus;1982;Namco (Midway license)
;pacslot;Pac-Slot;1996;Namco
puckman;pacuman;Pacu-Man (Spanish bootleg of Puck Man);1980;bootleg (Recreativos Franco S.A.)
;paddington;Apple Paddington PCI I/O ASIC;;
arkanoid;paddle2;Paddle 2 (bootleg on Block hardware);1988;bootleg
;paddlema;Paddle Mania;1988;SNK
crush;painter;Painter (hack of Crush Roller);1984;hack (Monshine Ent. Co.)
splash;paintlad;Painted Lady (Splash) (Ver. 1.3 US);1992;Gaelco / OMK Software
crush;paintrlr;Paint Roller (bootleg of Crush Roller);1981;bootleg
;pairlove;Pairs Love;1991;Athena
;pairmtch;Pair Match;1984;Bandai
;pairs;Pairs (V1.2, 09/30/94);1994;Strata/Incredible Technologies
pairs;pairsa;Pairs (V1, 09/07/94);1994;Strata/Incredible Technologies
;pairsnb;Pairs (Nichibutsu) (Japan 890822);1989;Nichibutsu
;pairsred;Pairs Redemption (V1.0, 10/25/94);1994;Strata/Incredible Technologies
pairsnb;pairsten;Pairs (System Ten) (Japan 890826);1989;System Ten
uniwars;pajaroes;Pajaro del Espacio (Spanish bootleg of UniWar S);1980;bootleg (PSV S.A.)
;pal;Myarc DDCC-1 PAL u1;;
;palamed;Palamedes (US);1990;Hot-B Co., Ltd.
palamed;palamedj;Palamedes (Japan);1990;Taito Corporation
;palestra;Palestra-02;1978;LPO
;palette;palette;;
;palmf31;Palmtronic F-31;1977;Canon
pilot1k;palmiii;Palm III;1998;3Com
pilot1k;palmiiic;Palm IIIc;1998;3Com
pilot1k;palmm100;Palm m100;2000;3Com
pilot1k;palmm130;Palm m130;2000;3Com
pilot1k;palmm505;Palm m505;2001;3Com
pilot1k;palmm515;Palm m515;2001;3Com
;palmmd8;Palmtronic MD-8 (Multi 8);1977;Canon
pilot1k;palmpers;Palm Pilot Personal;1997;U.S. Robotics
pilot1k;palmpro;Palm Pilot Pro;1997;U.S. Robotics
pilot1k;palmv;Palm V;1999;3Com
pilot1k;palmvx;Palm Vx;1999;3Com
;palmz22;Palm Z22;2005;Palm
;palu1;CorComp DCC PAL u1;;
;palu12;CorComp FDC PAL u12;;
;palu2;CorComp DCC PAL u2;;
;palu6;CorComp FDC PAL u6;;
;pana_ju_363;Panasonic JU-363 Flexible Disk Drive;;
;panasonic_mn63f805mnp;Panasonic MN63F805MNP Flash;;
;pandart;Panther Darts;1999;Daryde S. L.
;pandoras;Pandora's Palace;1984;Konami / Interlogic
;pandpays;Panda Pays - Mr. Cashman (0151109, US);2004;Aristocrat
;pang;Pang (World);1989;Mitchell
;pang3;Pang! 3 (Euro 950601);1995;Mitchell
pang3;pang3b;Pang! 3 (bootleg, set 1);1995;bootleg
pang3;pang3b2;Pang! 3 (bootleg, set 2);1995;bootleg
pang3;pang3b3;Pang! 3 (bootleg, set 3);1995;bootleg
pang3;pang3b4;Pang! 3 (bootleg, set 4);1995;bootleg
pang3;pang3b5;Pang! 3 (bootleg, set 5);1995;bootleg
pang3;pang3j;Pang! 3: Kaitou Tachi no Karei na Gogo (Japan 950511);1995;Mitchell
pang3;pang3r1;Pang! 3 (Euro 950511);1995;Mitchell
pang;pangb;Pang (bootleg, set 1);1989;bootleg
pang;pangb2;Pang (bootleg, set 4);1989;bootleg
pang;pangba;Pang (bootleg, set 3);1989;bootleg
pang;pangbb;Pang (bootleg, set 5);1989;bootleg
pang;pangbc;Pang (bootleg, set 7);1989;bootleg
pang;pangbold;Pang (bootleg, set 2);1989;bootleg
pang;pangbp;Pang (bootleg, set 6);1989;bootleg
;pangofun;Pango Fun (Italy);1995;InfoCube
;pangpang;Pang Pang;1994;Dong Gue La Mi Ltd.
;pangpoms;Pang Pom's;1992;Metro
pangpoms;pangpomsm;Pang Pom's (Mitchell);1992;Metro (Mitchell license)
pangpoms;pangpomsn;Pang Pom's (Nova);1992;Nova
;panic;Space Panic (version E);1980;Universal
panic;panic2;Space Panic (set 2);1980;Universal
panic;panic3;Space Panic (set 3);1980;Universal
;panicbom;Panic Bomber;1994;Eighting / Hudson
panic;panicger;Space Panic (German);1980;Universal (ADP Automaten license)
panic;panich;Space Panic (harder);1980;Universal
;panicprk;Panic Park (World, PNP2 Ver. A);1997;Namco
panicprk;panicprkj;Panic Park (Japan, PNP1 Ver. B, set 1);1997;Namco
panicprk;panicprkj2;Panic Park (Japan, PNP1 Ver. B, set 2);1997;Namco
;panicr;Panic Road (Japan);1986;Seibu Kaihatsu (Taito license)
panicr;panicrg;Panic Road (Germany);1986;Seibu Kaihatsu (Tuning license)
;panicstr;Panic Street (Japan);1999;Kaneko
;panikuru;Panicuru Panekuru (Japan, PPA1 Ver.A);2002;Namco
;panther;Panther (bootleg?);1981;Irem
;panther_audio;Irem M-37B audio (Panther);;
;panthera;Panthera;1980;Gottlieb
;pantmag;Panther Magic (0101046V, NSW/ACT);1999;Aristocrat
pantmag;pantmaga;Panther Magic (0100716V, NSW/ACT);1999;Aristocrat
spectar;panzer;Panzer (bootleg of Spectar);1980;bootleg (Proel)
;paperboy;Paperboy (rev 3);1984;Atari Games
paperboy;paperboyp;Paperboy (prototype);1983;Atari Games
paperboy;paperboyr1;Paperboy (rev 1);1984;Atari Games
paperboy;paperboyr2;Paperboy (rev 2);1984;Atari Games
;papillon;Papillon;1986;Video Dens
;paprazzi;Paparazzi;1996;Yun Sung
;papsudok;Plug and Play Sudoku Game (NES based);200?;Nice Code
;para2dx;Paradise 2 Deluxe;199?;Yun Sung
;paradar;Paradar;1995?;Videos A A
;paradice;Paradice (Dutch, Game Card 95-750-615);1995;BFM/ELAM
;paradise;Paradise (set 1);1994;Yun Sung
paradise;paradisea;Paradise (set 2);1994;Yun Sung
paradise;paradisee;Paradise (Escape);1994;Yun Sung (Escape license)
;paradlx;Paradise Deluxe;199?;Yun Sung
;paragon;Paragon;1979;Bally
;paranoia;Paranoia;1990;Naxat Soft
;parcade;Palace Arcade (Tiny Arcade);2017;Hasbro
;parentj;Parent Jack (Japan);1989;Taito
;parislgt;Paris Lights (30002611, NSW/ACT);2001;Aristocrat
parislgt;parislgtu;Paris Lights - Jackpot Carnival (0251031, US);2002;Aristocrat
;parodius;Parodius Da!: Shinwa kara Owarai e (World, set 1);1990;Konami
parodius;parodiusa;Parodius Da!: Shinwa kara Owarai e (Asia);1990;Konami
parodius;parodiuse;Parodius Da!: Shinwa kara Owarai e (World, set 2);1990;Konami
parodius;parodiusj;Parodius Da!: Shinwa kara Owarai e (Japan);1990;Konami
;parrot3;Parrot Poker III (Version 2.6E Dual);2004;Amcoe
parrot3;parrot3b1;Parrot Poker III (Version 2.6R, set 1);2004;Amcoe
parrot3;parrot3d1;Parrot Poker III (Version 2.6R, set 2);2004;Amcoe
parrot3;parrot3o;Parrot Poker III (Version 2.4);2003;Amcoe
parrot3;parrot3v1;Parrot Poker III (Version 2.6R Dual);2004;Amcoe
radio86;partner;Partner-01.01;1987;SAM SKB VM
;partner1fg;Partner 1F/G;1987;Iskra Delta
partner1fg;partnerwfg;Partner WF/G;1987;Iskra Delta
bigtown;party;Party;1979;Playmatic
;partygrs;Party Gras (AHG1567, US);2001;Aristocrat
partygrs;partygrsa;Party Gras (BHG1284, US);2001;Aristocrat
partygrs;partygrsb;Party Gras (AHG1568, US);2001;Aristocrat
;pasha2;Pasha Pasha 2;1998;Dong Sung
;paso1600;Pasopia 1600;198?;Toshiba
;pasogo;PasoGo;1996;KOEI
;pasopia;Personal Computer Pasopia PA7010;1982;Toshiba
;pasopia7;Pasopia 7 (Raster);1983;Toshiba
pasopia7;pasopia7lcd;Pasopia 7 (LCD);1983;Toshiba
;pasopia_pac2;Pasopia PAC2 Slot;;
;pass;Pass;1992;Oksan
passsht;passht4b;Passing Shot (4 Players) (bootleg);1988;bootleg
;passsht;Passing Shot (World, 2 Players) (FD1094 317-0080);1988;Sega
passsht;passsht16a;Passing Shot (Japan, 4 Players, System 16A) (FD1094 317-0071);1988;Sega
passsht;passshta;Passing Shot (World, 4 Players) (FD1094 317-0074);1988;Sega
passsht;passshtad;Passing Shot (World, 4 Players) (bootleg of FD1094 317-0074 set);1988;bootleg
passsht;passshtb;Passing Shot (2 Players) (bootleg);1988;bootleg
passsht;passshtd;Passing Shot (World, 2 Players) (bootleg of FD1094 317-0080 set);1988;bootleg
passsht;passshtj;Passing Shot (Japan, 4 Players) (FD1094 317-0070);1988;Sega
